sku_id,category,warehouse,week_start,units_sold
LAUNDRY-01,laundry,east,2026-07-13,659
LAUNDRY-01,laundry,east,2026-07-20,761
LAUNDRY-01,laundry,east,2026-07-27,620
LAUNDRY-01,laundry,west,2026-05-11,339
LAUNDRY-01,laundry,west,2026-05-18,343
LAUNDRY-01,laundry,west,2026-05-25,333
LAUNDRY-01,laundry,west,2026-06-01,331
LAUNDRY-01,laundry,west,2026-06-08,363
LAUNDRY-01,laundry,west,2026-06-15,361
LAUNDRY-01,laundry,west,2026-06-22,374
LAUNDRY-01,laundry,west,2026-06-29,369
LAUNDRY-01,laundry,west,2026-07-06,357
LAUNDRY-01,laundry,west,2026-07-13,346
LAUNDRY-01,laundry,west,2026-07-20,414
LAUNDRY-01,laundry,west,2026-07-27,349
LAUNDRY-02,laundry,east,2026-05-11,347
LAUNDRY-02,laundry,east,2026-05-18,352
LAUNDRY-02,laundry,east,2026-05-25,374
LAUNDRY-02,laundry,east,2026-06-01,380
LAUNDRY-02,laundry,east,2026-06-08,356
LAUNDRY-02,laundry,east,2026-06-15,367
LAUNDRY-02,laundry,east,2026-06-22,339
LAUNDRY-02,laundry,east,2026-06-29,351
LAUNDRY-02,laundry,east,2026-07-06,346
LAUNDRY-02,laundry,east,2026-07-13,373
LAUNDRY-02,laundry,east,2026-07-20,362
LAUNDRY-02,laundry,east,2026-07-27,360
LAUNDRY-02,laundry,west,2026-05-11,194
LAUNDRY-02,laundry,west,2026-05-18,176
LAUNDRY-02,laundry,west,2026-05-25,196
LAUNDRY-02,laundry,west,2026-06-01,204
LAUNDRY-02,laundry,west,2026-06-08,214
LAUNDRY-02,laundry,west,2026-06-15,189
LAUNDRY-02,laundry,west,2026-06-22,199
LAUNDRY-02,laundry,west,2026-06-29,182
LAUNDRY-02,laundry,west,2026-07-06,222
LAUNDRY-02,laundry,west,2026-07-13,206
LAUNDRY-02,laundry,west,2026-07-20,212
LAUNDRY-02,laundry,west,2026-07-27,194
KITCHEN-01,kitchen,east,2026-05-11,208
KITCHEN-01,kitchen,east,2026-05-18,205
KITCHEN-01,kitchen,east,2026-05-25,200
KITCHEN-01,kitchen,east,2026-06-01,202
KITCHEN-01,kitchen,east,2026-06-08,206
KITCHEN-01,kitchen,east,2026-06-15,209
KITCHEN-01,kitchen,east,2026-06-22,199
KITCHEN-01,kitchen,east,2026-06-29,239
KITCHEN-01,kitchen,east,2026-07-06,224
KITCHEN-01,kitchen,east,2026-07-13,227
KITCHEN-01,kitchen,east,2026-07-20,229
KITCHEN-01,kitchen,east,2026-07-27,226
KITCHEN-01,kitchen,west,2026-05-11,118
KITCHEN-01,kitchen,west,2026-05-18,123
KITCHEN-01,kitchen,west,2026-05-25,118
KITCHEN-01,kitchen,west,2026-06-01,129
KITCHEN-01,kitchen,west,2026-06-08,120
KITCHEN-01,kitchen,west,2026-06-15,130
KITCHEN-01,kitchen,west,2026-06-22,117
KITCHEN-01,kitchen,west,2026-06-29,127
KITCHEN-01,kitchen,west,2026-07-06,130
KITCHEN-01,kitchen,west,2026-07-13,136
KITCHEN-01,kitchen,west,2026-07-20,137
KITCHEN-01,kitchen,west,2026-07-27,122
BUNDLE-01,bundle,east,2026-05-11,129
BUNDLE-01,bundle,east,2026-05-18,146
BUNDLE-01,bundle,east,2026-05-25,133
BUNDLE-01,bundle,east,2026-06-01,125
BUNDLE-01,bundle,east,2026-06-08,146
BUNDLE-01,bundle,east,2026-06-15,143
BUNDLE-01,bundle,east,2026-06-22,131
BUNDLE-01,bundle,east,2026-06-29,136
BUNDLE-01,bundle,east,2026-07-06,152
BUNDLE-01,bundle,east,2026-07-13,140
BUNDLE-01,bundle,east,2026-07-20,140
BUNDLE-01,bundle,east,2026-07-27,142
BUNDLE-01,bundle,west,2026-05-11,80
BUNDLE-01,bundle,west,2026-05-18,69
BUNDLE-01,bundle,west,2026-05-25,78
BUNDLE-01,bundle,west,2026-06-01,77
BUNDLE-01,bundle,west,2026-06-08,79
BUNDLE-01,bundle,west,2026-06-15,81
BUNDLE-01,bundle,west,2026-06-22,78
BUNDLE-01,bundle,west,2026-06-29,81
BUNDLE-01,bundle,west,2026-07-06,81
BUNDLE-01,bundle,west,2026-07-13,86
BUNDLE-01,bundle,west,2026-07-20,71
BUNDLE-01,bundle,west,2026-07-27,81
